"cell_id","admin_level","admin_id","admin_name","parent_id"
270302,"ADM2","KAZ009002","Korday District","KAZ009"
270303,"ADM0","Kazakhstan","KAZ",NA
270303,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270303,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
270303,"ADM2","KAZ005010","Zhambyl District","KAZ005"
270303,"ADM2","KAZ009002","Korday District","KAZ009"
270304,"ADM0","Kazakhstan","KAZ",NA
270304,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270304,"ADM2","KAZ005010","Zhambyl District","KAZ005"
270305,"ADM0","Kazakhstan","KAZ",NA
270305,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270305,"ADM2","KAZ005010","Zhambyl District","KAZ005"
270306,"ADM0","Kazakhstan","KAZ",NA
270306,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270306,"ADM2","KAZ005004","Karasay District","KAZ005"
270306,"ADM2","KAZ005010","Zhambyl District","KAZ005"
270307,"ADM0","Kazakhstan","KAZ",NA
270307,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270307,"ADM2","KAZ005004","Karasay District","KAZ005"
270308,"ADM0","Kazakhstan","KAZ",NA
270308,"ADM1","KAZ004","Almaty","Kazakhstan"
270308,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270308,"ADM2","KAZ004001","Alatau District","KAZ004"
270308,"ADM2","KAZ004002","Almaly District","KAZ004"
270308,"ADM2","KAZ004003","Auezov District","KAZ004"
270308,"ADM2","KAZ004004","Bostandyk District","KAZ004"
270308,"ADM2","KAZ004006","Medeu District","KAZ004"
270308,"ADM2","KAZ004007","Nauryzbay District","KAZ004"
270308,"ADM2","KAZ005004","Karasay District","KAZ005"
270309,"ADM0","Kazakhstan","KAZ",NA
270309,"ADM1","KAZ004","Almaty","Kazakhstan"
270309,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270309,"ADM2","KAZ004006","Medeu District","KAZ004"
270309,"ADM2","KAZ005004","Karasay District","KAZ005"
270309,"ADM2","KAZ005005","Kegen District","KAZ005"
270309,"ADM2","KAZ005008","Talgar District","KAZ005"
270310,"ADM0","Kazakhstan","KAZ",NA
270310,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270310,"ADM2","KAZ005005","Kegen District","KAZ005"
270310,"ADM2","KAZ005008","Talgar District","KAZ005"
270311,"ADM0","Kazakhstan","KAZ",NA
270311,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270311,"ADM2","KAZ005002","Enbekshikazakh District","KAZ005"
270311,"ADM2","KAZ005005","Kegen District","KAZ005"
270311,"ADM2","KAZ005008","Talgar District","KAZ005"
270312,"ADM0","Kazakhstan","KAZ",NA
270312,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270312,"ADM2","KAZ005002","Enbekshikazakh District","KAZ005"
270312,"ADM2","KAZ005005","Kegen District","KAZ005"
270312,"ADM2","KAZ005008","Talgar District","KAZ005"
270313,"ADM0","Kazakhstan","KAZ",NA
270313,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270313,"ADM2","KAZ005002","Enbekshikazakh District","KAZ005"
270313,"ADM2","KAZ005005","Kegen District","KAZ005"
270313,"ADM2","KAZ005008","Talgar District","KAZ005"
270314,"ADM0","Kazakhstan","KAZ",NA
270314,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270314,"ADM2","KAZ005002","Enbekshikazakh District","KAZ005"
270314,"ADM2","KAZ005005","Kegen District","KAZ005"
270314,"ADM2","KAZ005008","Talgar District","KAZ005"
270315,"ADM0","Kazakhstan","KAZ",NA
270315,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270315,"ADM2","KAZ005005","Kegen District","KAZ005"
270316,"ADM0","Kazakhstan","KAZ",NA
270316,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270316,"ADM2","KAZ005005","Kegen District","KAZ005"
270317,"ADM0","Kazakhstan","KAZ",NA
270317,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270317,"ADM2","KAZ005005","Kegen District","KAZ005"
270317,"ADM2","KAZ005009","Uygur District","KAZ005"
270318,"ADM0","Kazakhstan","KAZ",NA
270318,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270318,"ADM2","KAZ005005","Kegen District","KAZ005"
270318,"ADM2","KAZ005007","Raiymbek District","KAZ005"
270318,"ADM2","KAZ005009","Uygur District","KAZ005"
270319,"ADM0","Kazakhstan","KAZ",NA
270319,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270319,"ADM2","KAZ005005","Kegen District","KAZ005"
270319,"ADM2","KAZ005007","Raiymbek District","KAZ005"
270319,"ADM2","KAZ005009","Uygur District","KAZ005"
270320,"ADM0","Kazakhstan","KAZ",NA
270320,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270320,"ADM2","KAZ005007","Raiymbek District","KAZ005"
270320,"ADM2","KAZ005009","Uygur District","KAZ005"
270321,"ADM0","Kazakhstan","KAZ",NA
270321,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270321,"ADM2","KAZ005007","Raiymbek District","KAZ005"
270322,"ADM0","Kazakhstan","KAZ",NA
270322,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270322,"ADM2","KAZ005007","Raiymbek District","KAZ005"
270322,"ADM2","KAZ005009","Uygur District","KAZ005"
271743,"ADM0","Kazakhstan","KAZ",NA
271743,"ADM1","KAZ005","Almaty Region","Kazakhstan"
271743,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
271743,"ADM2","KAZ005010","Zhambyl District","KAZ005"
271743,"ADM2","KAZ009002","Korday District","KAZ009"
271746,"ADM0","Kazakhstan","KAZ",NA
271746,"ADM1","KAZ005","Almaty Region","Kazakhstan"
271746,"ADM2","KAZ005004","Karasay District","KAZ005"
271746,"ADM2","KAZ005010","Zhambyl District","KAZ005"
271753,"ADM0","Kazakhstan","KAZ",NA
271753,"ADM1","KAZ005","Almaty Region","Kazakhstan"
271753,"ADM2","KAZ005005","Kegen District","KAZ005"
271755,"ADM0","Kazakhstan","KAZ",NA
271755,"ADM1","KAZ005","Almaty Region","Kazakhstan"
271755,"ADM2","KAZ005005","Kegen District","KAZ005"
271756,"ADM0","Kazakhstan","KAZ",NA
271756,"ADM1","KAZ005","Almaty Region","Kazakhstan"
271756,"ADM2","KAZ005005","Kegen District","KAZ005"
271757,"ADM0","Kazakhstan","KAZ",NA
271757,"ADM1","KAZ005","Almaty Region","Kazakhstan"
271757,"ADM2","KAZ005005","Kegen District","KAZ005"
271758,"ADM0","Kazakhstan","KAZ",NA
271758,"ADM1","KAZ005","Almaty Region","Kazakhstan"
271758,"ADM2","KAZ005005","Kegen District","KAZ005"
271758,"ADM2","KAZ005007","Raiymbek District","KAZ005"
271759,"ADM0","Kazakhstan","KAZ",NA
271759,"ADM1","KAZ005","Almaty Region","Kazakhstan"
271759,"ADM2","KAZ005007","Raiymbek District","KAZ005"
271760,"ADM0","Kazakhstan","KAZ",NA
271760,"ADM1","KAZ005","Almaty Region","Kazakhstan"
271760,"ADM2","KAZ005007","Raiymbek District","KAZ005"
271761,"ADM0","Kazakhstan","KAZ",NA
271761,"ADM1","KAZ005","Almaty Region","Kazakhstan"
271761,"ADM2","KAZ005007","Raiymbek District","KAZ005"
271762,"ADM0","Kazakhstan","KAZ",NA
271762,"ADM1","KAZ005","Almaty Region","Kazakhstan"
271762,"ADM2","KAZ005007","Raiymbek District","KAZ005"
273198,"ADM0","Kazakhstan","KAZ",NA
273198,"ADM1","KAZ005","Almaty Region","Kazakhstan"
273198,"ADM2","KAZ005005","Kegen District","KAZ005"
273198,"ADM2","KAZ005007","Raiymbek District","KAZ005"
273199,"ADM0","Kazakhstan","KAZ",NA
273199,"ADM1","KAZ005","Almaty Region","Kazakhstan"
273199,"ADM2","KAZ005007","Raiymbek District","KAZ005"
273200,"ADM0","Kazakhstan","KAZ",NA
273200,"ADM1","KAZ005","Almaty Region","Kazakhstan"
273200,"ADM2","KAZ005007","Raiymbek District","KAZ005"
273201,"ADM0","Kazakhstan","KAZ",NA
273201,"ADM1","KAZ005","Almaty Region","Kazakhstan"
273201,"ADM2","KAZ005007","Raiymbek District","KAZ005"
274641,"ADM0","Kazakhstan","KAZ",NA
274641,"ADM1","KAZ005","Almaty Region","Kazakhstan"
274641,"ADM2","KAZ005007","Raiymbek District","KAZ005"
